"SampleNumber","DateReceived","BoxTempNoReceipt","Country","DurabilityDate","TempAtCollection","ConditionOfSample","ProductWeightInPounds","CostOfChicken","TypeOfChicken","PackagingAtmosphere","PackagingDetails","NeckSkinWeightInSample","Test","Result","Units","Species","MethodEvalPhase"
"PO1607812-04","2016-04-12","2.6","England","2016-04-18","2","Satisfactory","1350","3.5","Standard","Modified Atmosphere","Other","19","Campylobacter spp - enumeration cfu/g","<10","CFU/g Back","","1"
"PO1607812-04","2016-04-12","2.6","England","2016-04-18","2","Satisfactory","1350","3.5","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration per Swab","1","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607816-01","2016-04-12","2.6","England","2016-04-16","1.8","Satisfactory","2214","4.5","Standard","Modified Atmosphere","Other","20","Campylobacter spp - enumeration cfu/g","180","CFU/g Neck","C. coli","1"
"PO1607816-01","2016-04-12","2.6","England","2016-04-16","1.8","Satisfactory","2214","4.5","Standard","Modified Atmosphere","Other","20","Campylobacter spp - enumeration cfu/g","410","CFU/g Back","Campylobacter spp.","1"
"PO1607816-01","2016-04-12","2.6","England","2016-04-16","1.8","Satisfactory","2214","4.5","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration per Swab","95","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607816-02","2016-04-12","2.6","England","2016-04-16","1.8","Satisfactory","1228","3","Standard","Modified Atmosphere","Other","12","Campylobacter spp - enumeration per Swab","350","CFU/g Neck","C. jejuni","1"
"PO1607816-02","2016-04-12","2.6","England","2016-04-16","1.8","Satisfactory","1228","3","Standard","Modified Atmosphere","Other","12","Campylobacter spp - enumeration per Swab","195","CFU/g Back","Campylobacter spp.","1"
"PO1607816-02","2016-04-12","2.6","England","2016-04-16","1.8","Satisfactory","1228","3","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration cfu/g","85","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607816-03","2016-04-12","2.6","England","2016-04-17","2.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","9","Campylobacter spp - enumeration per Swab","<10","CFU/g Neck","","1"
"PO1607816-03","2016-04-12","2.6","England","2016-04-17","2.2","Satisfactory","1200","4","Standard","Modified Atmosphere","Other","9","Campylobacter spp - enumeration cfu/g","<10","CFU/g Back","","1"
